Period,Scenario,LoadLevel,Unit,tCO2
2030,sc01,07-14 21:00:00+02:00,CT NG 06,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 69,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 74,0.0
2030,sc01,07-14 21:00:00+02:00,CC NG 25,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 46,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 73,0.0
2030,sc01,07-14 21:00:00+02:00,CC NG 09,0.0
2030,sc01,07-14 21:00:00+02:00,CC NG 03,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 01,0.0
2030,sc01,07-14 21:00:00+02:00,ST NG 08,0.0
2030,sc01,07-14 21:00:00+02:00,CC NG 36,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 21,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 53,0.0
2030,sc01,07-14 21:00:00+02:00,CC NG 23,124.32185302576373
2030,sc01,07-14 21:00:00+02:00,CT Oil 03,0.0
2030,sc01,07-14 21:00:00+02:00,CC NG 07,0.0
2030,sc01,07-14 21:00:00+02:00,CT Oil 02,0.0
2030,sc01,07-14 21:00:00+02:00,ST Coal 01,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 08,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 54,0.0
2030,sc01,07-14 21:00:00+02:00,CC NG 35,0.0
2030,sc01,07-14 21:00:00+02:00,ST NG 03,0.0
2030,sc01,07-14 21:00:00+02:00,CC NG 26,0.0
2030,sc01,07-14 21:00:00+02:00,ST NG 10,0.0
2030,sc01,07-14 21:00:00+02:00,CC NG 17,0.0
2030,sc01,07-14 21:00:00+02:00,CC NG 18,56.56166124254581
2030,sc01,07-14 21:00:00+02:00,CT NG 28,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 56,0.0
2030,sc01,07-14 21:00:00+02:00,CC NG 13,0.0
2030,sc01,07-14 21:00:00+02:00,CC NG 34,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 35,0.0
2030,sc01,07-14 21:00:00+02:00,ST NG 07,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 71,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 09,0.0
2030,sc01,07-14 21:00:00+02:00,CC NG 14,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 67,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 52,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 26,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 68,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 03,0.0
2030,sc01,07-14 21:00:00+02:00,ST Other 02,0.0
2030,sc01,07-14 21:00:00+02:00,CC NG 11,3.819320107279089
2030,sc01,07-14 21:00:00+02:00,CT NG 75,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 24,0.0
2030,sc01,07-14 21:00:00+02:00,CC NG 20,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 49,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 16,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 47,0.0
2030,sc01,07-14 21:00:00+02:00,ST NG 06,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 42,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 43,0.0
2030,sc01,07-14 21:00:00+02:00,CC NG 12,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 10,0.0
2030,sc01,07-14 21:00:00+02:00,CC NG 29,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 14,0.0
2030,sc01,07-14 21:00:00+02:00,CC NG 39,0.0
2030,sc01,07-14 21:00:00+02:00,CC NG 08,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 04,0.0
2030,sc01,07-14 21:00:00+02:00,CC NG 19,36.11276703174
2030,sc01,07-14 21:00:00+02:00,CC NG 28,0.0
2030,sc01,07-14 21:00:00+02:00,ST NG 02,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 07,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 23,0.0
2030,sc01,07-14 21:00:00+02:00,CT NG 66,0.0
2030,sc01,07-14 21:00:00+02:00,CC NG 40,101.53169459000314
2030,sc01,07-14 21:00:00+02:00,CT NG 05,0.0
2030,sc01,07-16 22:00:00+02:00,ST NG 01,149.75633889280002
2030,sc01,07-16 22:00:00+02:00,CC NG 15,5.999947782513343
2030,sc01,07-16 22:00:00+02:00,CC NG 04,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 21,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 22,0.0
2030,sc01,07-16 22:00:00+02:00,ST NG 05,0.0
2030,sc01,07-16 22:00:00+02:00,CT Oil 05,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 10,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 34,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 44,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 13,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 48,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 30,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 36,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 41,21.281933759921998
2030,sc01,07-16 22:00:00+02:00,CC NG 05,27.793141608300004
2030,sc01,07-16 22:00:00+02:00,CT NG 15,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 25,0.0
2030,sc01,07-16 22:00:00+02:00,ST NG 04,13.917148671887999
2030,sc01,07-16 22:00:00+02:00,CT NG 11,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 02,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 70,0.0
2030,sc01,07-16 22:00:00+02:00,CT Oil 01,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 06,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 45,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 27,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 01,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 38,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 22,113.90263813664522
2030,sc01,07-16 22:00:00+02:00,ST NG 09,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 50,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 16,205.56892022731344
2030,sc01,07-16 22:00:00+02:00,CT NG 12,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 33,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 32,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 55,0.0
2030,sc01,07-16 22:00:00+02:00,CT Oil 04,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 37,171.058406304876
2030,sc01,07-16 22:00:00+02:00,CC NG 31,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 72,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 24,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 06,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 69,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 74,15.612825192300003
2030,sc01,07-16 22:00:00+02:00,CC NG 25,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 46,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 73,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 09,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 03,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 01,0.0
2030,sc01,07-16 22:00:00+02:00,ST NG 08,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 36,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 21,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 53,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 23,38.31262623118603
2030,sc01,07-16 22:00:00+02:00,CT Oil 03,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 07,0.0
2030,sc01,07-16 22:00:00+02:00,CT Oil 02,0.0
2030,sc01,07-16 22:00:00+02:00,ST Coal 01,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 08,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 54,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 35,0.0
2030,sc01,07-16 22:00:00+02:00,ST NG 03,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 26,0.0
2030,sc01,07-16 22:00:00+02:00,ST NG 10,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 17,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 18,68.28486057462565
2030,sc01,07-16 22:00:00+02:00,CT NG 28,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 56,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 13,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 34,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 35,0.0
2030,sc01,07-16 22:00:00+02:00,ST NG 07,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 71,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 09,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 14,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 67,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 52,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 26,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 68,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 03,0.0
2030,sc01,07-16 22:00:00+02:00,ST Other 02,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 11,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 75,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 24,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 20,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 49,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 16,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 47,0.0
2030,sc01,07-16 22:00:00+02:00,ST NG 06,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 42,44.75851877536319
2030,sc01,07-16 22:00:00+02:00,CT NG 43,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 12,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 10,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 29,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 14,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 39,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 08,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 04,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 19,36.11276703174
2030,sc01,07-16 22:00:00+02:00,CC NG 28,31.296177674977915
2030,sc01,07-16 22:00:00+02:00,ST NG 02,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 07,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 23,0.0
2030,sc01,07-16 22:00:00+02:00,CT NG 66,0.0
2030,sc01,07-16 22:00:00+02:00,CC NG 40,219.2404588215338
2030,sc01,07-16 22:00:00+02:00,CT NG 05,0.0
2030,sc01,07-17 03:00:00+02:00,ST NG 01,149.75633889280002
2030,sc01,07-17 03:00:00+02:00,CC NG 15,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 04,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 21,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 22,0.0
2030,sc01,07-17 03:00:00+02:00,ST NG 05,0.0
2030,sc01,07-17 03:00:00+02:00,CT Oil 05,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 10,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 34,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 44,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 13,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 48,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 30,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 36,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 41,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 05,27.793141608300004
2030,sc01,07-17 03:00:00+02:00,CT NG 15,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 25,0.0
2030,sc01,07-17 03:00:00+02:00,ST NG 04,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 11,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 02,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 70,0.0
2030,sc01,07-17 03:00:00+02:00,CT Oil 01,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 06,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 45,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 27,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 01,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 38,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 22,0.0
2030,sc01,07-17 03:00:00+02:00,ST NG 09,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 50,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 16,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 12,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 33,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 32,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 55,0.0
2030,sc01,07-17 03:00:00+02:00,CT Oil 04,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 37,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 31,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 72,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 24,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 06,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 69,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 74,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 25,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 46,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 73,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 09,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 03,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 01,0.0
2030,sc01,07-17 03:00:00+02:00,ST NG 08,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 36,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 21,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 53,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 23,0.0
2030,sc01,07-17 03:00:00+02:00,CT Oil 03,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 07,0.0
2030,sc01,07-17 03:00:00+02:00,CT Oil 02,0.0
2030,sc01,07-17 03:00:00+02:00,ST Coal 01,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 08,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 54,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 35,0.0
2030,sc01,07-17 03:00:00+02:00,ST NG 03,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 26,0.0
2030,sc01,07-17 03:00:00+02:00,ST NG 10,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 17,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 18,36.76289043423656
2030,sc01,07-17 03:00:00+02:00,CT NG 28,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 56,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 13,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 34,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 35,0.0
2030,sc01,07-17 03:00:00+02:00,ST NG 07,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 71,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 09,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 14,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 67,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 52,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 26,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 68,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 03,0.0
2030,sc01,07-17 03:00:00+02:00,ST Other 02,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 11,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 75,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 24,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 20,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 49,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 16,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 47,0.0
2030,sc01,07-17 03:00:00+02:00,ST NG 06,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 42,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 43,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 12,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 10,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 29,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 14,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 39,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 08,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 04,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 19,9.64023463016291
2030,sc01,07-17 03:00:00+02:00,CC NG 28,0.0
2030,sc01,07-17 03:00:00+02:00,ST NG 02,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 07,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 23,0.0
2030,sc01,07-17 03:00:00+02:00,CT NG 66,0.0
2030,sc01,07-17 03:00:00+02:00,CC NG 40,60.028109807996884
2030,sc01,07-17 03:00:00+02:00,CT NG 05,0.0
2030,sc01,07-19 22:00:00+02:00,ST NG 01,149.75633889280002
2030,sc01,07-19 22:00:00+02:00,CC NG 15,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 04,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 21,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 22,0.0
2030,sc01,07-19 22:00:00+02:00,ST NG 05,7.736610817995455
2030,sc01,07-19 22:00:00+02:00,CT Oil 05,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 10,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 34,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 44,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 13,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 48,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 30,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 36,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 41,21.281933759921998
2030,sc01,07-19 22:00:00+02:00,CC NG 05,27.793141608300004
2030,sc01,07-19 22:00:00+02:00,CT NG 15,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 25,0.0
2030,sc01,07-19 22:00:00+02:00,ST NG 04,13.917148671887999
2030,sc01,07-19 22:00:00+02:00,CT NG 11,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 02,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 70,0.0
2030,sc01,07-19 22:00:00+02:00,CT Oil 01,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 06,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 45,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 27,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 01,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 38,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 22,168.15299533282877
2030,sc01,07-19 22:00:00+02:00,ST NG 09,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 50,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 16,224.6117454900118
2030,sc01,07-19 22:00:00+02:00,CT NG 12,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 33,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 32,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 55,0.0
2030,sc01,07-19 22:00:00+02:00,CT Oil 04,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 37,171.058406304876
2030,sc01,07-19 22:00:00+02:00,CC NG 31,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 72,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 24,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 06,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 69,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 74,15.612825192300003
2030,sc01,07-19 22:00:00+02:00,CC NG 25,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 46,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 73,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 09,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 03,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 01,0.0
2030,sc01,07-19 22:00:00+02:00,ST NG 08,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 36,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 21,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 53,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 23,109.47443229953268
2030,sc01,07-19 22:00:00+02:00,CT Oil 03,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 07,0.0
2030,sc01,07-19 22:00:00+02:00,CT Oil 02,0.0
2030,sc01,07-19 22:00:00+02:00,ST Coal 01,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 08,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 54,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 35,147.39629471261833
2030,sc01,07-19 22:00:00+02:00,ST NG 03,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 26,0.0
2030,sc01,07-19 22:00:00+02:00,ST NG 10,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 17,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 18,60.01564790221733
2030,sc01,07-19 22:00:00+02:00,CT NG 28,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 56,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 13,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 34,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 35,0.0
2030,sc01,07-19 22:00:00+02:00,ST NG 07,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 71,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 09,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 14,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 67,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 52,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 26,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 68,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 03,0.0
2030,sc01,07-19 22:00:00+02:00,ST Other 02,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 11,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 75,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 24,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 20,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 49,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 16,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 47,0.0
2030,sc01,07-19 22:00:00+02:00,ST NG 06,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 42,41.0779642769069
2030,sc01,07-19 22:00:00+02:00,CT NG 43,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 12,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 10,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 29,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 14,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 39,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 08,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 04,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 19,36.11276703174
2030,sc01,07-19 22:00:00+02:00,CC NG 28,51.4362291606931
2030,sc01,07-19 22:00:00+02:00,ST NG 02,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 07,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 23,0.0
2030,sc01,07-19 22:00:00+02:00,CT NG 66,0.0
2030,sc01,07-19 22:00:00+02:00,CC NG 40,219.2404588215338
2030,sc01,07-19 22:00:00+02:00,CT NG 05,0.0
2030,sc01,07-20 08:00:00+02:00,ST NG 01,149.75633889280002
2030,sc01,07-20 08:00:00+02:00,CC NG 15,0.0
2030,sc01,07-20 08:00:00+02:00,CC NG 04,0.0
2030,sc01,07-20 08:00:00+02:00,CC NG 21,0.0
2030,sc01,07-20 08:00:00+02:00,CT NG 22,29.091745038300004
2030,sc01,07-20 08:00:00+02:00,ST NG 05,0.0
2030,sc01,07-20 08:00:00+02:00,CT Oil 05,0.0
2030,sc01,07-20 08:00:00+02:00,CC NG 10,0.0
2030,sc01,07-20 08:00:00+02:00,CT NG 34,0.0
2030,sc01,07-20 08:00:00+02:00,CT NG 44,0.0
2030,sc01,07-20 08:00:00+02:00,CT NG 13,0.0
2030,sc01,07-20 08:00:00+02:00,CT NG 48,0.0
2030,sc01,07-20 08:00:00+02:00,CT NG 30,0.0
2030,sc01,07-20 08:00:00+02:00,CT NG 36,7.476902119478698
2030,sc01,07-20 08:00:00+02:00,CT NG 41,0.0
2030,sc01,07-20 08:00:00+02:00,CC NG 05,27.793141608300004
2030,sc01,07-20 08:00:00+02:00,CT NG 15,0.0
2030,sc01,07-20 08:00:00+02:00,CT NG 25,0.0
2030,sc01,07-20 08:00:00+02:00,ST NG 04,0.0
2030,sc01,07-20 08:00:00+02:00,CT NG 11,0.0
2030,sc01,07-20 08:00:00+02:00,CT NG 02,0.0
2030,sc01,07-20 08:00:00+02:00,CT NG 70,0.0
2030,sc01,07-20 08:00:00+02:00,CT Oil 01,0.0
2030,sc01,07-20 08:00:00+02:00,CC NG 06,0.0
2030,sc01,07-20 08:00:00+02:00,CT NG 45,0.0
2030,sc01,07-20 08:00:00+02:00,CC NG 27,0.0
2030,sc01,07-20 08:00:00+02:00,CC NG 01,0.0
2030,sc01,07-20 08:00:00+02:00,CC NG 38,0.0
2030,sc01,07-20 08:00:00+02:00,CC NG 22,0.0
2030,sc01,07-20 08:00:00+02:00,ST NG 09,165.02829323673603
2030,sc01,07-20 08:00:00+02:00,CT NG 50,0.0
2030,sc01,07-20 08:00:00+02:00,CC NG 16,0.0
2030,sc01,07-20 08:00:00+02:00,CT NG 12,0.0
2030,sc01,07-20 08:00:00+02:00,CC NG 33,0.0
2030,sc01,07-20 08:00:00+02:00,CC NG 32,0.0
2030,sc01,07-20 08:00:00+02:00,CT NG 55,0.0
2030,sc01,07-20 08:00:00+02:00,CT Oil 04,0.0
2030,sc01,07-20 08:00:00+02:00,CC NG 37,171.058406304876
2030,sc01,07-20 08:00:00+02:00,CC NG 31,0.0
2030,sc01,07-20 08:00:00+02:00,CT NG 72,0.0
2030,sc01,07-20 08:00:00+02:00,CC NG 24,0.0
2030,sc01,07-20 08:00:00+02:00,CT NG 06,0.0
2030,sc01,07-20 08:00:00+02:00,CT NG 69,0.0
